iteration,seed,fitness,total_existing,total_planted,exist_AG_LEC,exist_AG_SAL,exist_AG_SCB,exist_AG_STR,exist_OP_CAN,exist_OP_ENG,exist_OP_ROB,exist_OP_STR,exist_PR_LAE,exist_YU_FIL,new_AG_LEC,new_AG_SAL,new_AG_SCB,new_AG_STR,new_OP_CAN,new_OP_ENG,new_OP_ROB,new_OP_STR,new_PR_LAE,new_YU_FIL
208,549041,689.4720430107525,74,551,5,26,0,4,7,7,10,4,7,4,35,160,40,36,40,29,59,57,74,21
209,590586,698.5150537634408,70,555,4,25,1,3,3,6,9,6,9,4,36,161,39,37,44,30,60,55,72,21
210,537558,687.6763440860213,75,550,7,27,3,4,8,7,6,4,8,1,33,159,37,36,39,29,63,57,73,24
211,572735,698.5741935483871,63,562,7,8,6,4,10,3,4,7,9,5,33,178,34,36,37,33,65,54,72,20
212,254840,695.0784946236558,71,554,5,17,5,4,6,5,12,5,6,6,35,169,35,36,41,31,57,56,75,19
213,513992,685.9666666666666,66,559,7,19,6,10,0,3,8,5,7,1,33,167,34,30,47,33,61,56,74,24
214,711064,690.6612903225805,71,554,6,25,4,3,4,7,6,4,10,2,34,161,36,37,43,29,63,57,71,23
215,613527,699.5462365591397,73,552,2,14,9,3,6,6,9,7,14,3,38,172,31,37,41,30,60,54,67,22
216,658084,686.8387096774193,76,549,6,20,4,7,8,6,13,6,5,1,34,166,36,33,39,30,56,55,76,24
217,350307,694.0376344086021,73,552,4,25,6,5,4,3,6,8,10,2,36,161,34,35,43,33,63,53,71,23
218,627693,689.7505376344086,75,550,7,19,6,4,7,5,8,8,8,3,33,167,34,36,40,31,61,53,73,22
219,597919,690.0612903225806,70,555,4,21,1,4,5,5,8,14,7,1,36,165,39,36,42,31,61,47,74,24
220,829621,691.2655913978494,72,553,4,22,6,5,8,1,5,6,14,1,36,164,34,35,39,35,64,55,67,24
221,160556,693.4086021505375,74,551,4,25,4,3,9,3,10,7,8,1,36,161,36,37,38,33,59,54,73,24
222,257534,686.3623655913979,70,555,3,20,7,4,1,7,8,8,8,4,37,166,33,36,46,29,61,53,73,21
